"CUSTOMER_ID","FIRST_NAME","LAST_NAME","WEALTH","INCOME","CUSTOMER_DMG_SEGMENT","CUSTOMER_VALUE_SEGMENT","OCCUPATION","HIGHEST_CREDIT_CARD_LIMIT","DELINQUENCY_STATUS","MAX_CC_SPENT_AMOUNT","MAX_CC_SPENT_AMOUNT_PREV","RESIDENTIAL_STATUS"
31029,"Alexander","Russell","Poor",2750,"Segment4","Bronze","Worker",8250,"More Than Four Months",,3300,"Tenant"
31029,"""Alexander""","""Russell""","Poor",2750,"Segment4","Bronze","Worker",8250,"More Than Four Months",,3300,"Tenant"
28989,"Jacob","Cunningham","Poor",2750,"Segment4","Bronze","Army",8250,"Two Months Late",,825,"Tenant"
28989,"""Jacob""","""Cunningham""","Poor",2750,"Segment4","Bronze","Army",8250,"Two Months Late",,825,"Tenant"
37264,"Hailey","Turner","Average",2750,"Segment3","Silver","Technician",8250,"Two Months Late",,825,"Tenant"
37264,"""Hailey""","""Turner""","Average",2750,"Segment3","Silver","Technician",8250,"Two Months Late",,825,"Tenant"
7033,"Arthur","Stevens","Very Rich",5250,"Segment1","Gold","Manager",15750,"Normal",,1575,"Owner"
7033,"""Arthur""","""Stevens""","Very Rich",5250,"Segment1","Gold","Manager",15750,"Normal",,1575,"Owner"
42997,"Adrianna","Phillips","Very Poor",500,"Segment5","Bronze","Farmer",1500,"One Month Late",300,300,"Family Home"
42997,"""Adrianna""","""Phillips""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"One Month Late",300,300,"Family Home"
66639,"Amy","Thompson","Very Poor",500,"Segment5","Bronze","Technician",1500,"Normal",300,300,"Family Home"
66639,"""Amy""","""Thompson""","Very Poor",500,"Segment5","Bronze","Technician",1500,"Normal",300,300,"Family Home"
32382,"George","Harper","Very Poor",500,"Segment5","Bronze","Worker",1500,"Four Months Late",300,900,"Tenant"
32382,"""George""","""Harper""","Very Poor",500,"Segment5","Bronze","Worker",1500,"Four Months Late",300,900,"Tenant"
8743,"Belinda","Phillips","Very Poor",500,"Segment5","Bronze","Farmer",1500,"One Month Late",300,450,"Tenant"
8743,"""Belinda""","""Phillips""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"One Month Late",300,450,"Tenant"
95898,"Byron","Adams","Very Poor",500,"Segment5","Bronze","Worker",1500,"Two Months Late",300,450,"Tenant"
95898,"""Byron""","""Adams""","Very Poor",500,"Segment5","Bronze","Worker",1500,"Two Months Late",300,450,"Tenant"
35599,"Antony","Hill","Very Poor",500,"Segment5","Bronze","Farmer",1500,"More Than Four Months",300,750,"Tenant"
35599,"""Antony""","""Hill""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"More Than Four Months",300,750,"Tenant"
99089,"Ryan","Smith","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Two Months Late",300,750,"Family Home"
99089,"""Ryan""","""Smith""","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Two Months Late",300,750,"Family Home"
56222,"Alina","Baker","Very Poor",500,"Segment5","Bronze","Clerical",1500,"One Month Late",600,300,"Family Home"
56222,"""Alina""","""Baker""","Very Poor",500,"Segment5","Bronze","Clerical",1500,"One Month Late",600,300,"Family Home"
87168,"Eleanor","Allen","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Two Months Late",600,150,"Tenant"
87168,"""Eleanor""","""Allen""","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Two Months Late",600,150,"Tenant"
29288,"Alberta","Hawkins","Very Poor",500,"Segment5","Bronze","Technician",1500,"Two Months Late",900,150,"Family Home"
29288,"""Alberta""","""Hawkins""","Very Poor",500,"Segment5","Bronze","Technician",1500,"Two Months Late",900,150,"Family Home"
24641,"Florrie","Roberts","Very Poor",500,"Segment5","Bronze","Farmer",,"Four Months Late",900,450,"Tenant"
24641,"""Florrie""","""Roberts""","Very Poor",500,"Segment5","Bronze","Farmer",,"Four Months Late",900,450,"Tenant"
58683,"Julia","Hamilton","Very Poor",500,"Segment5","Bronze","Professional",1500,"More Than Four Months",900,450,"Family Home"
